ДАТА,МЕСЯЦ,ДЕНЬ НЕДЕЛИ,ВРЕМЯ,АУД ЧАСЫ,ТИП ЗАНЯТИЯ,ГРУППА,НАИМЕНОВАНИЕ ДИСЦИПЛИНЫ,ДОЛЖНОСТЬ,ПРЕПОДАВАТЕЛЬ,АУД.,АДРЕС
2,10,Понедельник,12:10-15:20,4,Лекция,БИ-3-22-07-08-09,Микроэкономика,Старший Преподаватель,Версоцкий Р.Р.,СДО,
2,10,Понедельник,15:30-18:40,4,Практическое занятие,БИ-3-22-07,Функциональное программирование и интеллектуальные системы,Старший Преподаватель,Пржевуская М.А.,СДО,
3,10,Вторник,12:10-15:20,4,Практическое занятие,БИ-3-22-08,"Вычислительные системы, сети, телекоммуникации",Старший Преподаватель,Томах Е.Н.,СДО,
3,10,Вторник,15:30-18:40,4,Практическое занятие,БИ-3-22-07,Макроэкономика,Доцент,Белов В.И.,223,"Днепропетровская ул., д.8"
3,10,Вторник,15:30-18:40,4,Практическое занятие,БИ-3-22-08,Базы данных,Старший Преподаватель,Смирнова А.В.,СДО,
4,10,Среда,12:10-15:20,4,Практическое занятие,БИ-3-22-07,Теория вероятностей и математическая статистика,Профессор,Курзенев В.А.,309,"Днепропетровская ул., д.8"
4,10,Среда,15:30-18:40,4,Практическое занятие,БИ-3-22-07,Программирование,Профессор,Тулупьев А.Л.,103,"Днепропетровская ул., д.8"
4,10,Среда,15:30-18:40,4,Практическое занятие,БИ-3-22-08,Программирование,Доцент,Воробей С.Н.,101,"Днепропетровская ул., д.8"
5,10,Четверг,08:30-11:40,4,Практическое занятие,БИ-3-22-07,"Элективные курсы по физической культуре: Легкая атлетика, Фитнес, Спортивные игры",Преподаватель,Линникова Д.В.,Стадион,
5,10,Четверг,08:30-11:40,4,Практическое занятие,БИ-3-22-08,"Элективные курсы по физической культуре: Легкая атлетика, Фитнес, Спортивные игры",Профессор,Рябчук В.В.,Стадион,
6,10,Пятница,12:10-15:20,4,Лекция,БИ-3-22-05-06-07-08-09,"Вычислительные системы, сети, телекоммуникации",Старший Преподаватель,Смирнова А.В.,СДО,
6,10,Пятница,15:30-18:40,4,Практическое занятие,БИ-3-22-07,Иностранный язык,Преподаватель,Мамедова Р.Б.,СДО,
6,10,Пятница,15:30-18:40,4,Практическое занятие,БИ-3-22-08,Иностранный язык,Доцент,Костиникова О.А.,СДО,
9,10,Понедельник,12:10-15:20,4,Лекция,БИ-3-22-07-08-09,Микроэкономика,Старший Преподаватель,Версоцкий Р.Р.,СДО,
9,10,Понедельник,15:30-18:40,4,Практическое занятие,БИ-3-22-07,Функциональное программирование и интеллектуальные системы,Старший Преподаватель,Пржевуская М.А.,СДО,
10,10,Вторник,12:10-15:20,4,Практическое занятие,БИ-3-22-07,"Вычислительные системы, сети, телекоммуникации",Старший Преподаватель,Смирнова А.В.,СДО,
10,10,Вторник,12:10-15:20,4,Практическое занятие,БИ-3-22-08,Функциональное программирование и интеллектуальные системы,Преподаватель,Пунтиков А.Н.,304,"Днепропетровская ул., д.8"
10,10,Вторник,15:30-18:40,4,Практическое занятие,БИ-3-22-07,Базы данных,Старший Преподаватель,Барклаевская Н.В.,СДО,
10,10,Вторник,15:30-18:40,4,Практическое занятие,БИ-3-22-08,Макроэкономика,Доцент,Белов В.И.,312,"Днепропетровская ул., д.8"
11,10,Среда,12:10-15:20,4,Лекция,БИ-3-22-05-06-07-08-09,Менеджмент,Доцент,Носков-Дукельский А.И.,СДО,
11,10,Среда,15:30-18:40,4,Лекция,БИ-3-22-07-08,Теория вероятностей и математическая статистика,Профессор,Курзенев В.А.,СДО,
12,10,Четверг,08:30-11:40,4,Практическое занятие,БИ-3-22-07,"Элективные курсы по физической культуре: Легкая атлетика, Фитнес, Спортивные игры",Преподаватель,Линникова Д.В.,Стадион,
12,10,Четверг,08:30-11:40,4,Практическое занятие,БИ-3-22-08,"Элективные курсы по физической культуре: Легкая атлетика, Фитнес, Спортивные игры",Профессор,Рябчук В.В.,Стадион,
